order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,product_id,seller_id,price,shipping_charges
mHyhzcUeLGj2,TDEBQrhIwApB,delivered,2018-04-02 22:39:59,2018-04-03 22:35:18,2018-04-13 18:12:30,2018-04-23,wdV7yJzaz3Su,coi9xkdo66JI,135.91,48.71
StM5K4TLyrt5,1k71TCYNFCzj,delivered,2018-05-30 09:25:25,2018-05-30 09:35:16,2018-06-21 18:22:15,2018-07-05,V3ksL8RRt2uO,cijw7pZK3THP,37.89,72.67
Q97dFuo1kaq9,IfWKDQHkjLDd,delivered,2018-04-10 00:17:56,2018-04-10 00:35:11,2018-04-20 18:03:58,2018-05-04,vndXhZ66Bwpl,1DpugyRBC5sk,28.82,16.92
07j6mlMhSVtx,kZ0rkJCJ6N5y,delivered,2018-05-02 22:52:10,2018-05-03 00:13:21,2018-05-09 23:48:32,2018-05-18,2RxPIb6Sjlm1,V74ci3dl1Npa,222.98,31.89
kxa1InBj9gwP,zsCKIdqYLV01,delivered,2017-04-24 20:06:41,2017-04-24 20:22:24,2017-05-05 10:22:27,2017-05-25,DXG0TFaZjGHO,V8Stg8HdXCTe,36.89,59.0
P5R6jr1qZdh4,FrEvnEiMKGpr,canceled,2017-07-24 11:38:43,2017-07-24 11:50:18,,2017-08-07,YCMS6jUWbEbe,2IxTbqKqgUdA,139.98,14.91
HqV5f8K2UYoA,3zvaY9gUH9bO,delivered,2018-06-15 15:44:21,2018-06-15 16:00:22,2018-06-25 22:27:56,2018-07-11,CBuRjOln99hg,Wk0JznmZOo6h,83.36,6.87
j5rwgECNf14O,bUornDCZmRD4,delivered,2018-03-15 11:13:23,2018-03-15 11:29:14,2018-04-09 18:54:36,2018-04-03,tfgKHMdnTKpJ,RsUgQvBvc24M,185.6,21.82
43It0OEHVyJe,qEVfsXFU3er9,delivered,2017-03-05 16:10:01,2017-03-05 16:25:11,2017-04-18 15:28:21,2017-04-06,l0Q038BC2u3G,5Tuxay3bG3t7,403.9,31.0
ddXx4T93MeaI,mPg90mQwmDOP,delivered,2017-10-03 12:58:11,2017-10-03 13:07:28,2017-10-09 14:06:32,2017-10-30,V84ooqHQgeH2,STj3c88kfxpu,167.0,20.9
NXDsEGbl1pUC,v6GelvnCrAk5,delivered,2018-04-02 00:31:04,2018-04-02 00:47:44,2018-04-06 20:53:33,2018-04-18,E9OiMOkPkNam,coi9xkdo66JI,318.33,27.57
MhDudBaAab78,lZ0pUFQvjZNA,delivered,2017-08-16 19:36:38,2017-08-18 02:35:25,2017-08-24 21:47:56,2017-09-05,aYw1jx6U0ZzQ,VnAPb1lEZYQ6,3.49,30.66
XupzjrovQeez,ckZATUjYdFd3,delivered,2017-06-21 16:41:10,2017-06-22 02:45:18,2017-06-29 12:43:45,2017-07-04,kuUbPNBMgk7o,tYbtiPwsAhmw,109.82,50.83
YTztQOHlvuBg,GuxDt46GwQEd,delivered,2017-07-02 21:10:38,2017-07-02 21:25:15,2017-07-13 19:19:52,2017-07-27,SESkOgF0nWnh,YVBAT3QqF9Qj,89.1,34.6
xfXLgLbCo5BC,SPV4UclettEh,delivered,2018-02-18 12:03:25,2018-02-18 12:10:25,2018-02-28 20:06:27,2018-03-13,06Zem5ml9euJ,l1pYW6GBnPMr,68.0,20.9
gVMP1bPDg69L,GpdbWoJi61Qc,delivered,2017-12-30 02:36:20,2018-01-04 23:17:35,2018-01-23 20:28:38,2018-02-05,ro08JPncYzLh,r7VxefoTVHbb,509.99,21.76
9G9EHbafs7NW,KD8KlSTtIm3Z,delivered,2018-07-18 18:42:47,2018-07-18 18:55:28,2018-08-03 14:43:03,2018-08-13,lkPBqpnGNyKe,O04i82YS0uAJ,165.0,9.45
INolFarYfmEO,QU7yWUgfIpJX,delivered,2018-06-30 21:08:36,2018-06-30 21:30:06,2018-07-11 17:56:33,2018-08-03,saFIRNuu8V6H,qeM9i4J3ypy2,100.0,6.79
LV0vJIDricq1,rgjb3WchpjHg,delivered,2017-11-05 19:14:22,2017-11-07 07:30:35,2017-11-17 20:32:53,2017-11-29,uicu7Mpz6xlZ,V3iKL8r9W9NR,127.77,38.66
VtQvdStc00Xd,JyHhNu9cbCo1,delivered,2017-03-07 19:19:19,2017-03-08 03:05:17,2017-03-21 10:41:53,2017-04-03,uCnShK796Rpb,OkFthMYQJf3H,692.0,11.36
tOTdnjpI8Udp,Jw0zo2CWiEs7,delivered,2018-07-10 12:15:42,2018-07-10 12:30:21,2018-07-15 16:13:38,2018-07-18,tRV6VjdwdLAm,fBHtndjqwueV,295.0,110.14
ebR5efLCCpiq,MXiUFyGLUs2Z,delivered,2018-02-03 17:08:22,2018-02-03 17:30:03,2018-03-06 07:14:36,2018-03-13,Hwaj6cncrjwO,9fFFM6RBxCkT,186.98,17.44
YOKYMSjKRCMN,oiBrZODbJTvz,delivered,2018-04-10 08:42:53,2018-04-10 08:55:33,2018-04-20 10:59:02,2018-05-02,YgnBaIterOVh,FRAkUwkY4tZy,113.49,50.82
57XZHymoJ10l,mcuPjOLRkNpR,delivered,2017-09-05 13:32:39,2017-09-05 13:50:10,2017-09-13 16:54:10,2017-09-29,SLTlrWtcYt1m,r7VxefoTVHbb,692.0,2.75
yUz40ih0jYGt,yOjH9Exn64WQ,delivered,2018-03-15 15:20:17,2018-03-15 15:35:35,2018-03-24 15:34:51,2018-03-27,yZJweQSasMAW,yfNN6zuwypOw,17.6,68.69
IeZYtitws7WU,yca6TkmY4yQm,delivered,2017-05-16 09:23:23,2017-05-16 09:35:15,2017-05-31 08:38:03,2017-06-07,kgF2KLJ8Ao3M,3Q4DoxWsVAXa,37.84,56.27
ZPkh9QhjG7SK,LooHWGt3K5gp,delivered,2017-08-05 18:13:21,2017-08-08 03:55:47,2017-08-17 17:05:57,2017-08-25,8kUYWjdaVCxf,oI8R7WsNWWBc,50.21,161.82
KJL5uJuZzKxr,oZqYD7eyV1EJ,delivered,2018-07-17 15:21:10,2018-07-18 03:01:44,2018-08-20 12:08:32,2018-08-14,QzAC1fDWMbmk,ShJbjTW0ZGor,26.68,29.56
SelY2hgVvruM,0hj86xqZbYSV,delivered,2017-05-05 17:23:59,2017-05-06 06:35:18,2017-05-25 16:30:12,2017-06-05,R2u3pJSgF7Gr,OnC6iPAbNc8Z,59.88,37.93
0QqNX4xLriht,l2wCGNSY1l3Z,delivered,2017-05-15 19:39:50,2017-05-15 19:55:17,2017-05-22 12:25:54,2017-06-02,lSVmLWTOmgtw,rFT13UJuGo0Q,28.69,57.11
HNXQI2lmI4AR,ukZ709Rl8bdF,delivered,2017-09-05 14:56:58,2017-09-07 02:44:07,2017-09-14 20:05:01,2017-09-18,bDhxHlkU0GeF,sdO4rR2udeZV,676.97,39.12
C21fWds5zL0W,iFsAJRrzVaTS,shipped,2017-02-04 12:58:55,2017-02-04 13:10:38,,2017-03-15,MeFPAUcWfyAo,5Ja2lH0N2OZt,68.99,27.8
00NEIdaOTIgn,tSG89uyaK6MS,delivered,2018-05-07 22:34:11,2018-05-07 22:52:41,2018-05-11 22:48:43,2018-05-21,Mh5csf65CB6I,UOGIrJtSldvd,223.87,31.01
XprtHqpLEddw,Ex7BhwPvrGyQ,delivered,2017-06-08 20:25:53,2017-06-09 20:30:15,2017-06-28 13:17:43,2017-07-11,hfEa3c65LTA2,0Mzbc3aACMOQ,55.83,3.45
ph9ImXx6aMjl,f4Frm4WEvj1g,delivered,2017-08-16 22:58:04,2017-08-17 00:50:11,2017-08-26 15:35:39,2017-09-05,Pb29t2XBfP6Q,2a07LobkzHUx,176.97,35.87
x0fzGpICAZ0w,ORO4ADUB1jHd,delivered,2018-04-27 23:54:06,2018-04-28 00:10:51,2018-05-02 17:32:25,2018-05-14,th6S1t44GAij,B025lNndXwWx,231.27,82.44
YUX432Je58GK,jQ0u9oBPe3Mg,delivered,2018-07-25 09:02:36,2018-07-25 09:15:13,2018-07-30 10:49:54,2018-08-02,fUSMr8Wo77AI,l1pYW6GBnPMr,820.05,133.37
C3u0OwYQ8nuP,0I8vL0BlM1p1,delivered,2017-03-20 21:35:37,2017-03-20 21:35:37,2017-03-24 12:17:55,2017-04-10,qI5i1mUxo5tX,EGpv4plsYpt1,3.5,2.46
UaZKqhLFwRZP,JtX09eqY5lk3,delivered,2018-03-27 17:27:57,2018-03-27 17:48:39,2018-03-31 16:12:11,2018-04-09,AQRgJU930yvK,TAkMUTMwlNUw,26.86,140.4
QOaNjVewOOTX,sk3z82bQhZAO,delivered,2018-05-07 15:39:24,2018-05-07 17:30:00,2018-05-29 14:28:53,2018-05-30,VCOwCoc0C3aj,BUqNP64b1AeL,111.27,49.55
lo8oje94TYb7,eSqRKROmKF9Y,delivered,2018-08-13 14:07:50,2018-08-15 03:15:09,2018-08-24 00:14:39,2018-09-05,f21OMkeWX2ZC,ozjiHoSKwUks,79.49,51.91
O5bLel2qV1yT,SNzA2roBQaGK,delivered,2018-08-01 13:21:58,2018-08-01 13:35:09,2018-08-15 20:31:53,2018-08-09,mKDM0qdFnNNd,xbr8ZnHWrWgb,189.98,36.97
3ffaVBUrnCxy,IGPOK4wVaGbv,delivered,2018-03-17 10:31:47,2018-03-17 10:50:31,2018-03-28 17:03:47,2018-04-05,aZ1aneUqyncU,XLxN4hdOlYco,475.0,50.28
8g4jF6hPD6tG,45WzrefbE0kB,delivered,2017-06-07 20:06:06,2017-06-07 20:22:27,2017-06-16 18:25:40,2017-06-21,ch26pynh9FL6,AHG0TE6bRNNY,31.77,23.6
IBT786JmVIAa,dGD1MVag3snm,delivered,2018-03-10 11:18:28,2018-03-10 11:48:16,2018-03-16 20:27:34,2018-03-22,eTlPil30tvIn,3cqSxyYyqpx6,188.8,22.11
Rd6Tke4v8afv,EI8c9beFpTSQ,delivered,2018-03-02 09:15:34,2018-03-02 09:29:48,2018-04-05 17:41:42,2018-03-28,DXG0TFaZjGHO,V8Stg8HdXCTe,403.9,49.72
NnoGZNF5rNkD,YanexVtkhb2B,delivered,2017-11-17 19:41:48,2017-11-18 02:35:30,2017-12-02 18:38:16,2017-12-05,htOWZMHmysDe,9OW1ODEpHxLL,125.46,13.81
gZMKyNzWXvcQ,iaDXrhsLGSc6,delivered,2017-11-27 13:49:33,2017-11-27 13:56:37,2017-12-18 20:08:13,2017-12-21,GJ4e2xEfaCmh,oI8R7WsNWWBc,31.0,5.59
qcDbJ8F0FIjM,hWGGX7sEla9R,delivered,2018-05-08 19:38:58,2018-05-08 20:54:55,2018-05-14 20:36:55,2018-05-21,EZlH1lJVfFqj,CQsufpmy1WxU,1332.5,6.58
hyJjgFRI44lc,MNcdWG4E5iDb,delivered,2018-04-05 11:22:54,2018-04-07 02:48:13,2018-04-13 00:50:52,2018-04-25,zTW2bowvLdj9,zyhKQqd3kGqW,129.46,6.87
EfyYNfniuxQP,7mxdMPX1ERJj,delivered,2017-09-08 12:55:46,2017-09-08 13:05:18,2017-09-15 21:55:41,2017-10-02,VO111AOA1QIP,ElULPWS11hxk,161.0,47.55
0MQGlO2eQrNG,JJe2PPwxISzG,delivered,2018-01-08 11:23:52,2018-01-08 11:35:30,2018-01-18 20:58:50,2018-01-31,mfq8n5MEY4eP,XoReeOEjvEuw,770.0,67.11
zb8Qfa2K9ynp,cnalXbv8lRur,delivered,2017-03-30 21:59:17,2017-04-04 05:45:23,2017-04-13 16:57:42,2017-04-25,TdryLJINHQ9O,dQCmV6mcOXGX,109.82,55.54
LLWFihCYlP6a,Vpl3DrXMAEhb,delivered,2018-04-11 20:48:46,2018-04-11 21:09:42,2018-04-18 21:50:59,2018-05-04,B2udqVNGe7sU,AHG0TE6bRNNY,148.5,27.36
PBvPGqQxwFDV,cWwtMYBNlwy1,delivered,2018-08-08 18:52:43,2018-08-08 19:05:10,2018-08-20 13:43:44,2018-09-20,IsLB3oNMsX7k,K0qPVGdA91KO,31.99,38.26
OQHE8Ve7n811,bEh2OYyGVzcI,delivered,2017-08-30 10:56:22,2017-08-30 11:10:15,2017-09-08 17:33:00,2017-09-21,7IfEqKdKlG9j,16pMg4KJ3hIj,87.9,47.55
Vtkwb0b4JxKg,3JeAegsqlpZ1,delivered,2018-05-18 18:52:53,2018-05-22 08:56:53,2018-06-04 21:16:48,2018-06-07,YG7qG1MQlhjp,3t74Pe6EQyNu,206.57,29.68
4qLswBjaDZnT,6gl6qALuNSUL,delivered,2018-02-05 09:06:12,2018-02-07 02:52:32,2018-03-22 19:18:52,2018-03-06,nS95HUh6SK36,2a07LobkzHUx,98.62,54.64
XXzZNogGt47r,rAV7gKaOWkEy,delivered,2018-06-10 20:29:24,2018-06-10 20:57:48,2018-06-13 16:03:33,2018-06-29,cT3PvVNqyIpQ,vmUdCiLPoz75,1122.0,20.79
Pp9bMvTIgPDs,CiOHqzRk5bbt,delivered,2018-02-15 09:19:26,2018-02-16 09:35:27,2018-03-12 17:19:32,2018-03-12,hoBYqNvOyd5V,lAnSOSAjk3Uz,368.9,63.39
zh6skhlWLDTv,tIPFV5qJBgvT,delivered,2018-03-06 22:09:24,2018-03-06 22:28:48,2018-03-14 23:46:30,2018-03-22,2oRZ0O0Cvxg1,cjilIa8d2RUG,10.6,50.43
z9Zr742C0ASe,yD2x7GOSsjqA,delivered,2018-04-29 11:36:05,2018-04-29 11:52:06,2018-05-10 21:04:37,2018-05-25,UjLE7WsWfgrO,Fh5z5uvA4neX,218.98,6.87
AayA35wXEdbB,a9gFQyCfrVym,delivered,2017-09-11 17:35:25,2017-09-11 18:04:33,2017-10-05 20:43:40,2017-10-11,nvbYOXncMsv0,uhfmBPCbZg6B,139.79,47.82
kuyUMcYHFGqn,dXsploeBzop3,delivered,2018-07-29 12:47:00,2018-08-01 16:31:40,2018-08-03 18:20:55,2018-08-10,5WcLgWtO04vH,ruq0u2ZpAMDr,403.9,15.77
efc3TQanhsCE,9tQzKeNKhIoQ,delivered,2017-05-07 13:59:55,2017-05-07 14:10:14,2017-05-16 13:58:56,2017-05-31,jyqvHPkDKFDV,DHOPtCppeECW,41.1,47.55
vFUriN4pz2Bi,TLYzpBJ3Cbnv,delivered,2017-09-04 14:25:41,2017-09-04 14:43:50,2017-09-12 23:54:52,2017-09-21,4BAZNq7FQZOV,oqejBC0typqo,198.5,76.76
1CVQ66HlMRUR,J2bElQYq3gEQ,delivered,2017-06-23 13:56:25,2017-06-27 03:55:21,2017-06-28 12:06:11,2017-07-13,G16XPtJuiBOe,nOpV5DDruGvj,17.91,32.34
jJgDALmwe6f6,lFEdYUjKo6tu,delivered,2017-05-05 08:44:58,2017-05-06 02:15:58,2017-05-15 11:38:04,2017-05-30,tfJojxEnA32p,ZsDn106jXrgr,8.8,70.17
n8p0M8Vco4SQ,8tpStNEuJ43p,delivered,2017-04-10 23:29:46,2017-04-10 23:42:09,2017-04-20 12:03:14,2017-05-15,5hqQbR7p5r2D,oGYw3FCx0i23,43.21,121.95
pNSYSUcXxkhB,qvo2fc2aRUvp,delivered,2017-06-04 12:09:59,2017-06-04 13:02:01,2017-06-13 17:13:52,2017-06-20,97fSQlZJl4P8,n3xQr5wHpHRX,24.79,13.92
9AWAHq3HWS6u,pk1Ke0Nxac36,delivered,2017-08-08 13:37:37,2017-08-08 13:50:13,2017-08-11 20:11:04,2017-08-23,mwlDII1pL31s,p7zV0UTQOu6w,184.9,52.37
DlmtCXqKjfWj,UlqYPqEYgETA,delivered,2018-07-03 11:11:29,2018-07-05 16:27:45,2018-07-09 17:06:38,2018-07-27,N9wgqW59QGza,vxQT8FlJeDdN,80.75,12.86
KqH0sXMHdItQ,M7wmpVTfmiFp,delivered,2017-07-18 20:52:33,2017-07-18 21:05:14,2017-07-24 17:56:30,2017-08-07,n3QjhUa3JbkT,TJ6FVACdM0WN,509.0,30.66
OiIetUyiPLHG,4YfVSBGWPVdv,delivered,2018-06-28 00:43:34,2018-06-28 01:11:21,2018-06-29 20:52:48,2018-07-12,fJOMyLSpholI,ruq0u2ZpAMDr,127.77,37.87
1pgvtCG93rNg,pqIfz7jRxaKh,delivered,2017-12-13 23:56:00,2017-12-15 23:51:44,2017-12-26 18:29:42,2018-01-09,DMB6KqQisnZE,aeWbd3M28ShO,148.5,67.48
qJHIiWyTAizV,5XGKxFrzDdYP,delivered,2017-04-27 00:12:04,2017-04-27 01:15:14,2017-05-09 09:55:03,2017-05-26,0vbEvli2JYJu,RKad98cTxhSb,95.03,57.81
vSug5AqRo9gE,oWBBqGwqpx4m,shipped,2017-05-07 10:22:58,2017-05-09 09:35:20,,2017-06-12,xl7fxh09W8xU,HQ4j3Fr6B61e,310.99,63.17
cuAQQZUhTEwb,EeCs1w6JNdPU,delivered,2017-04-06 11:53:43,2017-04-06 13:05:26,2017-05-02 11:47:48,2017-05-10,bumRSmIPLuYa,kiirS0of7bJI,513.99,46.67
yYk586LcCRYw,hgHQgpZ9rVHu,delivered,2018-03-11 14:54:08,2018-03-11 15:27:59,2018-03-23 19:23:02,2018-04-02,Hh61P9XhdxJT,zhKBSmYNDuJd,21.74,8.31
2HQ26ShSPhCA,uvuFFZDOAlU7,canceled,2017-07-29 12:56:17,2017-07-29 13:05:18,,2017-08-18,jcZ2MOqKsGsh,60CZvBJuXsud,136.9,24.78
iWJeaLiduq7C,bVaqeOVzrNj1,delivered,2018-08-09 08:16:06,2018-08-10 08:10:16,2018-08-15 19:42:35,2018-09-10,OEoHcaKHbdiB,SdNJoEI8fcgb,168.1,31.97
1vz8w7BjKsWC,EZkjVsEKMQF0,delivered,2018-07-09 21:31:15,2018-07-09 21:45:13,2018-07-13 20:51:09,2018-07-24,Ggd3U51peXoq,8cMMpAAFEsxE,15.89,50.28
h8KEpd8n4gLL,LkYwWbX35V3p,delivered,2017-11-27 11:05:38,2017-11-27 11:15:03,2018-01-22 13:56:53,2017-12-19,etUc3o0rjL6e,qeM9i4J3ypy2,849.5,139.18
PC71lF6z451l,paCiJAGDh54D,delivered,2018-06-20 12:30:41,2018-06-22 04:36:05,2018-06-26 22:38:34,2018-07-03,lFGT2p3CDtxY,luzDO2kXE6wp,49.97,38.82
TySAT9hqufKc,wuCRBXrAQIyN,delivered,2018-05-10 20:41:16,2018-05-10 20:57:56,2018-05-21 19:16:30,2018-05-30,daiqbsoofbQ7,EZcvC15JiPPz,98.6,12.28
Y72RuFd0mZnO,jsuJ85mr7Rlb,delivered,2017-12-13 23:06:19,2017-12-13 23:15:33,2017-12-18 16:43:44,2018-01-05,dAz11YkQkoue,TuPm19CMKvrM,59.21,32.34
JQnDQBQZYwWs,7qqTmdyVGDMP,delivered,2018-03-15 22:03:50,2018-03-15 22:15:51,2018-03-20 21:58:43,2018-03-28,KocIrz6J906g,OOPkZSte8kf6,223.51,67.53
qcXjhr3DZYmI,ebCRKHmjYa2q,delivered,2018-02-22 12:04:32,2018-02-22 12:29:22,2018-04-02 23:26:57,2018-03-20,xj8TsBOfCz2Q,DAXcLJj7W7BQ,453.7,47.55
3SQKKPbTrStx,ap5gXjoc79ju,delivered,2018-01-26 17:33:03,2018-01-26 18:00:34,2018-02-01 20:29:26,2018-02-09,LEtlZnZPgiXx,3jwvL6ihC45G,24.1,32.34
IKSlI8m4cXvg,63cb18M1Z31w,delivered,2018-08-07 16:45:43,2018-08-07 17:05:05,2018-08-10 19:58:43,2018-08-27,dtkkSAYxncfA,dwcf0d2KopFX,42.95,12.28
ubzoVELLkeoU,cIIcBGeYxzLl,delivered,2017-11-24 21:08:14,2017-11-25 00:16:29,2017-12-22 21:40:03,2017-12-21,WLCpnwy0jsjj,K0qPVGdA91KO,475.6,17.03
FfjA9YfQ045p,asn6Y9BiG6Ma,delivered,2017-01-05 14:18:03,2017-01-07 03:44:16,2017-01-17 16:47:45,2017-02-13,qjquOwfUstem,ErNdnCxofJMU,145.69,61.32
pHtHYRoip8Cl,MdXOdiX1GYJB,delivered,2017-11-27 21:29:49,2017-11-30 17:31:14,2017-12-09 15:27:09,2017-12-22,gdZxFB7RkmeM,wieAWPlzjuX4,699.9,47.55
yGQcdep9edOe,DFT8eetndqim,delivered,2018-03-19 07:49:47,2018-03-20 07:08:04,2018-03-26 17:28:33,2018-04-05,RO8Eso0VLlkB,CdW7Qr5M6GEr,274.49,29.34
O2vxSz1Ohmit,pfARTA1RWJhn,delivered,2018-06-18 08:14:02,2018-06-19 03:36:38,2018-06-29 15:12:38,2018-07-17,GvBzGCvvIC2D,v4i9GZGfxgTZ,679.0,29.06
CEHnEFl5VOdj,G7fLaaLEAieo,delivered,2018-01-17 18:54:36,2018-01-17 19:10:35,2018-02-21 00:39:10,2018-02-14,BuMA9g0RCLlr,TBkUw9PKrND5,78.8,20.25
JYzOn3Ha1rNQ,VOohNhPUdkDS,delivered,2018-04-22 12:13:25,2018-04-24 17:24:48,2018-05-02 20:38:44,2018-05-14,K9inDFpRP1Y5,nQlmkVGs3xYh,28.82,63.11
YjpdVhpi6ke5,dvl5K6eo1ouv,delivered,2018-04-20 09:01:16,2018-04-24 18:35:57,2018-04-25 01:30:59,2018-05-07,sZPDopwjwXU1,T5TAziawiIyq,2799.65,56.27
xmCgQrZviQ4N,Nxs89iJKBJ8Z,delivered,2018-07-22 17:47:27,2018-07-23 12:32:17,2018-07-26 16:21:16,2018-07-31,PNxV7rsy2fgg,73jr4z4JJLzT,509.99,17.39
DWf9VC5hYd07,fo2DhPj0geOU,delivered,2017-08-02 13:06:10,2017-08-02 13:23:15,2017-09-19 15:00:51,2017-08-25,XtWT6gLIlj7Q,2IxTbqKqgUdA,43.48,99.34
gMRkjz3CrUnd,ufG7Q9l2g5Dn,delivered,2017-09-19 19:46:11,2017-09-19 20:04:05,2017-09-29 20:49:52,2017-10-05,Mb037GbMfoRI,V3iKL8r9W9NR,34.72,67.11
1sBsJeYdxAI1,uJZ6s76zSxtN,delivered,2017-07-18 17:17:37,2017-07-18 17:25:16,2017-07-26 15:52:12,2017-08-09,LP9yzvAzxDXy,hmS6KkvxMbyF,399.2,38.66
6NKIoWu3AOZS,gngo3QnJVUXB,delivered,2018-04-02 12:12:56,2018-04-02 12:28:37,2018-04-04 18:13:46,2018-04-26,KDNXKv9s2evT,A7s2wiNKJ3HW,16.89,21.91
fQ58lYglAHz2,HtPYXtaKFzex,delivered,2017-06-16 10:33:12,2017-06-17 10:25:15,2017-06-21 18:06:29,2017-06-29,axLBYi1XjP6J,oI8R7WsNWWBc,50.21,5.59
0Eab4qSWCSyh,xIjzSNbQQ1uw,delivered,2018-01-15 12:22:25,2018-01-15 12:34:24,2018-01-18 16:09:03,2018-01-30,YWxNxMu4wOKG,YVBAT3QqF9Qj,13.1,19.16
RCsCygUAyk50,3qJ5VThdsczu,delivered,2017-09-15 07:39:51,2017-09-15 07:50:08,2017-09-20 22:03:52,2017-10-03,bdZMcl4443hh,nyvgAgymNBCt,328.0,161.82
POj27FIujdqj,lZCaJq9iYKt0,delivered,2018-06-14 21:18:25,2018-06-14 21:36:55,2018-06-20 20:58:36,2018-07-05,Djdj2b2qMgNy,OnC6iPAbNc8Z,335.99,7.42
lTxzZyJHvbIZ,ncBjZzosb18g,delivered,2017-11-23 11:42:07,2017-11-25 03:32:48,2017-12-16 17:58:49,2017-12-21,4VIws8ixtz0J,8cMMpAAFEsxE,144.97,47.55
PbW1A2IELHIL,E1CIwdUAL7mV,delivered,2018-07-19 19:17:20,2018-07-19 19:50:08,2018-07-30 16:54:44,2018-08-16,63xWgMAWpCUv,evGTHuQm4wMZ,31.5,24.99
RYBegQzM81NV,QsVvy2vjoqJ2,delivered,2017-07-13 14:39:29,2017-07-14 02:24:20,2017-07-31 18:25:47,2017-08-14,5zjlm4wGGKnH,ItYhqrkUww7D,57.6,77.45
uIMjdIbbLKuf,eWPTvp2Uxgjr,delivered,2018-04-12 21:25:16,2018-04-13 13:29:47,2018-04-28 19:56:29,2018-05-03,ZXaWnDtFtm16,QfFj9NCYpfLN,31.0,150.8
jj4qFCWCsUSC,SDjEL1DMM89j,delivered,2017-08-11 15:52:07,2017-08-12 02:55:08,2017-08-23 11:58:17,2017-08-31,iqxjLw041Ngo,KERtsZxD9Phy,1298.99,30.66
JBctb1NlmsLO,A5ypt74Dm5ED,delivered,2017-11-25 23:56:26,2017-11-27 23:50:00,2017-12-15 04:22:46,2017-12-27,77YHWauoWSee,oqejBC0typqo,27.8,31.18
V98wyh8HaJrC,M8toooCMGG65,delivered,2017-03-26 14:07:21,2017-03-26 14:15:20,2017-04-03 13:15:36,2017-04-24,u7VrCV0J3rFD,bd8RhBYu7arp,16.2,0.61
F7SlozxlB98i,YeToIjRZbK1b,delivered,2018-04-15 23:10:48,2018-04-15 23:32:29,2018-04-21 00:08:30,2018-05-09,i8rOWNVCU8SG,X5fhqRmuvQ9Z,579.75,48.82
M9UeVfUqd5IQ,zwFtWWaE2Ja8,delivered,2017-11-30 09:06:04,2017-11-30 09:15:33,2017-12-27 14:18:10,2018-01-05,s284eb92Zw1i,UmQttOWjmUMt,95.03,125.84
XfRzUdQ4vXDb,Yu7y0eUjrMjF,delivered,2017-10-15 04:15:02,2017-10-15 04:28:11,2017-10-23 14:37:33,2017-10-26,GrFFq2mwLHY2,vufOqLeaCfeU,38.48,32.34
KZdbnccspG6C,tvBnqB57rQrh,delivered,2017-08-12 22:00:15,2017-08-12 22:15:13,2017-08-17 20:47:36,2017-09-05,CdlzSJX6L7SM,V3iKL8r9W9NR,127.77,42.05
